iter	MultiClass
158	0.685793886
159	0.684997209
160	0.6821214605
161	0.6794419182
162	0.6763177036
163	0.6748904053
164	0.6739327635
165	0.6718161789
166	0.6704982254
167	0.6688917507
168	0.6674622135
169	0.6655666367
170	0.6630447431
171	0.6616011444
172	0.6592880271
173	0.6572541731
174	0.6554119485
175	0.6532642011
176	0.6511879994
177	0.6484955218
178	0.6453097057
179	0.6425494885
180	0.6407696093
181	0.6387148158
182	0.6371621195
183	0.6350797116
184	0.6322282635
185	0.6316600818
186	0.6301982345
187	0.6290876297
188	0.6271176627
189	0.6240878057
190	0.6231641759
191	0.622025081
192	0.6203801245
193	0.6179709476
194	0.6162692481
195	0.6150178337
196	0.6137005584
197	0.6112782407
198	0.6086820597
199	0.6073380862
200	0.6049438672
201	0.6036421511
202	0.600882437
203	0.5974738312
204	0.5951581959
205	0.5935591131
206	0.591504684
207	0.5901977114
208	0.5888231553
209	0.5869253778
210	0.5855214983
211	0.5823218709
212	0.5806119594
213	0.578688685
214	0.5765521837
215	0.5751325231
216	0.5741118498
217	0.5720550974
218	0.5701106005
219	0.5678863211
220	0.5662034774
221	0.5647745746
222	0.5638149956
223	0.5615199779
224	0.5596756567
225	0.5580392978
226	0.5562643219
227	0.5546131463
228	0.5536661871
229	0.5520633631
230	0.550217119
231	0.5488520936
232	0.5474975534
233	0.5455255551
234	0.5436676161
235	0.5415374016
236	0.539217546
237	0.5384210018
238	0.53619073
239	0.5347354115
240	0.5334152729
241	0.532140429
242	0.5310571453
243	0.5292191323
244	0.5277438844
245	0.5259489149
246	0.5242734965
247	0.5234011013
248	0.5217927915
249	0.521246004
250	0.5192090887
251	0.517233903
252	0.5165207235
253	0.5156386209
254	0.5142140588
255	0.5128419953
256	0.5116303586
257	0.5095241649
258	0.5075863358
259	0.5051617099
260	0.5042509523
261	0.5022890824
262	0.5006332617
263	0.4994925333
264	0.498418491
265	0.4973675372
266	0.4963188214
267	0.4952351418
268	0.4943355411
269	0.4928009481
270	0.4912325515
271	0.4898993961
272	0.4889373019
273	0.4872428088
274	0.4863485347
275	0.484976007
276	0.4836999478
277	0.4830171105
278	0.4815543633
279	0.4803181742
280	0.4788174634
281	0.4779592209
282	0.4768201243
283	0.4747213376
284	0.4726693455
285	0.470755075
286	0.4697972218
287	0.468184344
288	0.4663598521
289	0.4655434494
290	0.4645004091
291	0.4640239431
292	0.462038224
293	0.4612473476
294	0.4597343784
295	0.4585749409
296	0.4573678861
297	0.4558828745
298	0.4544705183
299	0.4527784837
300	0.4511838058
301	0.4507387453
302	0.4497509509
303	0.4481198961
304	0.4468020258
305	0.4463291225
306	0.445235953
307	0.4439577194
308	0.4423070318
309	0.4413959485
310	0.4406060098
311	0.4396716341
312	0.4382677321
313	0.4371342216
314	0.4365558989
315	0.435634068
316	0.4345597912
317	0.4331214479
318	0.4316268018
319	0.4304319465
320	0.4292760498
321	0.4275129928
322	0.4264195869
323	0.4250988729
324	0.4238092364
325	0.422543242
326	0.4204909857
327	0.4196488984
328	0.4186464209
329	0.4175043025
330	0.4163847529
331	0.4146299113
332	0.4127535336
333	0.4111701421
334	0.4105772098
335	0.4094771648
336	0.4081204075
337	0.4072192208
338	0.406321842
339	0.4052970073
340	0.404000098
341	0.4032059573
342	0.4022679447
343	0.4011861021
344	0.399792124
345	0.3987936259
346	0.3983245141
347	0.3975130741
348	0.3966479651
349	0.3952646522
350	0.394726768
351	0.3942802286
352	0.3932379471
353	0.3925020093
354	0.3915725067
355	0.390026936
356	0.3886599797
357	0.3872541299
358	0.3855256103
359	0.3844840851
360	0.3837797862
361	0.3830538448
362	0.3815733058
363	0.3803271292
364	0.379184731
365	0.3780650455
366	0.3766745604
367	0.3759978721
368	0.3747802425
369	0.3738588712
370	0.3732846917
371	0.3722576228
372	0.3717832503
373	0.3709423313
374	0.3693109806
375	0.3683262453
376	0.3671408374
377	0.366054685
378	0.3655093342
379	0.3644021349
380	0.3634907262
381	0.3620582145
382	0.3606056004
383	0.3598299821
384	0.3587710937
385	0.3572143244
386	0.3567333001
387	0.355578791
388	0.3547708956
389	0.3539268249
390	0.3534686709
391	0.352896816
392	0.3520650769
393	0.3514111052
394	0.3506605628
395	0.3501917621
396	0.3491823218
397	0.3482009
398	0.3467994172
399	0.3461000578
400	0.3445095142
401	0.3438447425
402	0.3428695149
403	0.3420833787
404	0.3415427982
405	0.3405879299
406	0.3396489013
407	0.3383307659
408	0.3373980924
409	0.3367373993
410	0.3354777026
411	0.3346503693
412	0.3336248305
413	0.332588925
414	0.3318059492
415	0.3311677549
416	0.3298324933
417	0.3291420033
418	0.3283431923
419	0.3277106292
420	0.3272174408
421	0.3261363721
422	0.3255877637
423	0.3243858462
424	0.3235275679
425	0.3225103924
426	0.3214015817
427	0.3207235477
428	0.3202162199
429	0.3196369847
430	0.318850603
431	0.3184138912
432	0.3176954421
433	0.3168934704
434	0.3159609597
435	0.3152289814
436	0.3145728069
437	0.3135075834
438	0.3127036339
439	0.3120749251
440	0.3114351546
441	0.3105666076
442	0.3099392521
443	0.3095144855
444	0.3088166604
445	0.307969253
446	0.3069769836
447	0.3061647112
448	0.3058338144
449	0.3049033791
450	0.3041692468
451	0.3034870491
452	0.3028601745
453	0.3025087106
454	0.3019657518
455	0.3013374908
456	0.3008058337
457	0.3002769034
458	0.2993704275
459	0.2986197704
460	0.2978008569
461	0.2972386276
462	0.2967341339
463	0.2962813162
464	0.2956263411
465	0.2947782726
466	0.2941437724
467	0.2934514217
468	0.2926808038
469	0.2922449618
470	0.2917324909
471	0.291390201
472	0.2905731781
473	0.2901041038
474	0.289602108
475	0.2892264168
476	0.2887923893
477	0.2877196527
478	0.2872755988
479	0.2863612931
480	0.2858133207
481	0.2854722489
482	0.2845581038
483	0.283638749
484	0.2828783446
485	0.2819935966
486	0.2812416864
487	0.2804372238
488	0.2799600421
489	0.2791968309
490	0.2782810006
491	0.2778703987
492	0.2769130776
493	0.2765029638
494	0.2760384642
495	0.2752680694
496	0.274944491
497	0.2742915801
498	0.2736459216
499	0.2733795172
